,index,r,l,t
320,320,46.467919,18,65.20110893249512
321,321,50.222601,20,65.38352108001709
322,322,47.320261,18,65.55713510513306
323,323,44.478578999999996,16,65.6982569694519
324,324,49.030111,20,65.87635803222656
325,325,42.573814,15,66.02361011505127
326,326,49.097246999999996,19,66.197261095047
327,327,44.552164000000005,17,66.35387301445007
328,328,55.64921700000001,21,66.55212903022766
329,329,44.306774,16,66.70770907402039
330,330,47.189338,18,66.86836910247803
331,331,46.506015000000005,17,67.03103399276733
332,332,35.15526,12,67.14737796783447
333,333,50.107879,19,67.33023810386658
334,334,52.306089,21,67.52869701385498
335,335,45.966967,17,67.67825198173523
336,336,47.025154,18,67.85438799858093
337,337,43.613409000000004,16,68.00232601165771
338,338,44.170446000000005,16,68.17546606063843
339,339,48.099338,19,68.35194396972656
340,340,57.039508,23,68.55888104438782
341,341,51.944967999999996,21,68.75369691848755
342,342,46.878859999999996,18,68.92834806442261
343,343,48.099338,19,69.10537600517273
344,344,49.030111,20,69.28094100952148
345,345,50.15128,20,69.46214199066162
346,346,44.478578999999996,16,69.60698390007019
347,347,45.966967,17,69.765615940094
348,348,44.478578999999996,16,69.90660095214844
349,349,42.748096000000004,15,70.04843997955322
350,350,45.966967,17,70.23552393913269
351,351,53.285765000000005,21,71.88397598266602
352,352,69.077056,26,72.1493570804596
353,353,44.2629,16,72.32748603820801
354,354,45.966967,17,72.49537491798401
355,355,41.893864,15,72.66027307510376
356,356,49.125279,20,72.86031293869019
357,357,49.030111,20,73.06008100509644
358,358,43.99279,16,73.23434901237488
359,359,47.189338,18,73.40148401260376
360,360,49.030111,20,73.5850670337677
361,361,39.198867,14,73.72716903686523
362,362,47.189338,18,73.8844940662384
363,363,49.030111,20,74.06260204315186
364,364,49.030111,20,74.23701906204224
365,365,42.748096000000004,15,74.37177205085754
366,366,51.062042,18,74.53360295295715
367,367,48.120111,19,74.70398592948914
368,368,54.427335,21,74.89142394065857
369,369,52.529312,20,75.0727870464325
370,370,48.862189,19,75.2507860660553
371,371,42.748096000000004,15,75.38102507591248
372,372,47.189338,18,75.5420401096344
373,373,49.030111,20,75.72244191169739
374,374,58.58954,20,75.90137195587158
375,375,47.689153000000005,18,76.06004691123962
376,376,50.605546999999994,20,76.23598909378052
377,377,49.030111,20,76.40941905975342
378,378,49.030111,20,76.58427500724792
379,379,47.675155,17,76.73800897598267
380,380,49.030111,20,76.91552305221558
381,381,49.030111,20,77.09303307533264
382,382,45.966967,17,77.24138689041138
383,383,48.720185,19,77.43154692649841
384,384,49.666211,20,77.62526607513428
385,385,51.662292,21,77.82484102249146
386,386,49.030111,20,78.0073070526123
387,387,48.099338,19,78.18146204948425
388,388,40.797872,14,78.30720901489258
389,389,49.030111,20,78.48797798156738
390,390,49.030111,20,78.66811108589172
391,391,49.030111,20,78.85009694099426
392,392,48.099338,19,79.02259707450867
393,393,46.924558000000005,18,79.18699502944946
394,394,44.478578999999996,16,79.32624793052673
395,395,44.478578999999996,16,79.4674289226532
396,396,49.030111,20,79.64366102218628
397,397,45.966967,17,79.79198908805847
398,398,47.189338,18,79.95776510238647
399,399,45.966967,17,80.10625004768372
400,400,45.868289000000004,17,80.27838706970215
401,401,44.202714,16,80.42275595664978
402,402,47.85637,19,80.60818004608154
403,403,42.748096000000004,15,80.74059700965881
404,404,49.030111,20,80.9257481098175
405,405,49.030111,20,81.13118100166321
406,406,48.176144,18,81.36498808860779
407,407,136.05623899999998,45,83.17431402206421
408,408,52.85751,21,83.37189793586731
409,409,45.966967,17,83.52936601638794
410,410,49.030111,20,83.71289205551147
411,411,65.64596800000001,25,83.9577100276947
412,412,46.614543,17,84.12414789199829
413,413,50.074847999999996,20,84.31216096878052
414,414,48.536248,18,84.48799395561218
415,415,45.598769,17,84.65723991394043
416,416,46.876967,18,84.82315492630005
417,417,49.030111,20,85.00986003875732
418,418,49.030111,20,85.18510890007019
419,419,51.708416,20,85.37609910964966
420,420,44.436326,16,85.52806401252747
421,421,44.478578999999996,16,85.67198491096497
422,422,47.039654999999996,18,85.84408688545227
423,423,49.030111,20,86.01674199104309
424,424,43.627437,16,86.17676711082458
425,425,47.433458,17,86.32745909690857
426,426,47.982983000000004,17,86.48195099830627
427,427,42.748096000000004,15,86.61272096633911
428,428,46.785044,18,86.78739309310913
429,429,47.189338,18,86.9570529460907
430,430,51.409258,21,87.15061807632446
431,431,49.030111,20,87.32508611679077
432,432,49.059653999999995,19,87.50176692008972
433,433,47.189338,18,87.65718793869019
434,434,42.748096000000004,15,87.78962707519531
435,435,54.85100799999999,22,87.99210000038147
436,436,49.030111,20,88.17255902290344
437,437,44.811780999999996,16,88.3164439201355
438,438,48.279764,19,88.52406907081604
439,439,47.681607,17,88.68026995658875
440,440,48.402752,18,88.84474492073059
441,441,49.030111,20,89.02956795692444
442,442,49.030111,20,89.21233201026917
443,443,53.618092000000004,21,89.41426801681519
444,444,49.030111,20,89.59097409248352
445,445,49.030111,20,89.76927495002747
